0000000	Moti Mahal	214 035 149 021 117 075 204 051 163
0000001	Village	026 249 174 004 132 249 198 191 192 125 075 205 054 165
0000002	Millrose Brewing Company	137 249 194 215 213 174 249 191 192 008 075 205 054 165
0000003	Dover Straits	137 190 174 249 212 075 205 053 165
0000004	Eat Your Hearts Out	214 249 249 197 111 025 025 112 075 205 053 164
0000005	Pizzeria Uno & Due	026 249 004 132 100 086 149 182 076 204 052 163
0000006	Trattoria Franco	214 136 125 078 208 056 170
0000007	Little Bucharest	214 004 132 249 198 201 074 205 052 164
0000008	Pattaya	026 235 074 205 051 163
0000009	House of Hunan	026 191 192 024 021 039 075 205 052 164
0000010	Morton's of Chicago	137 174 099 249 245 189 191 192 114 024 225 076 206 053 168
0000011	Jezebel	214 174 249 200 196 125 140 075 205 053 166
0000012	Capri	137 249 174 249 125 075 204 051 164
0000013	Don Roths	137 174 249 063 247 008 075 205 053 166
0000014	Tucci Benucch	026 249 191 192 125 182 075 205 053 165
0000015	Rim Klong	214 235 075 205 052 163
0000016	Four Farthings Tavern & Grill	214 249 194 215 213 249 184 063 021 008 006 075 205 053 164
0000017	Skip's Other Place	137 174 100 249 198 191 192 008 225 075 205 052 164
0000018	Papa Milano	026 249 198 125 075 204 052 164
0000019	Gladys Luncheonette	214 249 174 148 249 136 156 220 217 076 205 051 163
0000020	Harry's Velvet Room	026 004 132 200 196 008 125 078 208 056 170
0000021	Jaxx	026 249 174 191 192 063 040 024 045 070 075 205 054 167
0000022	Bangkok Star	214 235 075 205 052 163
0000023	Cafe	026 249 174 004 132 136 040 024 006 076 207 054 165
0000024	Timbers Charhouse	137 249 174 100 008 075 205 053 165
0000025	El Jardin	214 249 178 249 063 138 142 074 204 052 164
0000026	Signature Room at the 95th	026 174 101 099 200 057 071 024 021 006 075 205 054 167
0000027	DINING ROOM	026 190 174 097 099 200 245 193 146 040 111 024 090 077 207 055 169
0000028	Hamburger Hamlet	026 249 100 178 086 249 107 074 204 052 163
0000029	Petros Dianna's	214 174 249 191 192 103 074 204 053 165
0000030	Waterfront	026 249 004 132 249 212 075 205 053 165
0000031	Walter's	137 136 200 196 191 192 008 212 076 205 053 167
0000032	Thai Touch	214 198 235 076 205 052 164
0000033	Silk Mandarin	137 025 039 075 205 053 164
0000034	Mambo Grill	026 249 004 132 249 184 001 223 232 075 205 053 164
0000035	L'Olive	214 249 143 144 078 208 056 170
0000036	Sukumvit Cafe	026 035 025 235 075 203 050 163
0000037	Little Spain	214 249 136 198 057 071 223 076 205 052 164
0000038	Shaw's Deerfield	137 174 249 245 191 192 024 212 075 205 053 165
0000039	Sylviano's	137 125 078 208 056 170
0000040	Rico's	026 174 249 191 192 125 075 205 053 165
0000041	Kennessey's Cypress	137 174 198 229 045 075 205 053 165
0000042	Jia's	214 249 198 039 075 205 052 164
0000043	Jilly's Cafe	137 097 011 249 200 196 008 045 075 205 053 166
0000044	Sarkis Grill	137 249 174 100 086 197 156 008 042 061 075 205 052 162
0000045	Shilla	214 174 130 075 204 052 164
0000046	I Tre Merli	026 102 174 101 099 249 063 024 125 075 204 053 166
0000047	Dionne's	137 011 136 200 146 247 091 077 206 054 165
0000048	Ristorante Italia	214 249 125 075 204 052 165
0000049	P.J. Clarke's	026 194 215 213 249 184 191 192 008 074 204 052 164
0000050	Houston's	026 249 184 040 024 008 075 205 053 164
0000051	Star of Siam	026 235 075 204 052 163
0000052	BISTRO 110	026 249 174 101 097 249 063 114 024 092 076 205 053 165
0000053	Bones	137 249 174 249 191 192 008 017 075 205 052 164
0000054	Goose Island Brewing Co.	214 249 194 215 213 174 178 249 184 191 192 006 074 204 052 163
0000055	Kanval Palace	214 021 117 075 205 052 164
0000056	Avanti Populo	214 102 174 249 191 192 063 125 075 204 053 165
0000057	Bella Vista	214 174 249 191 192 125 075 205 054 166
0000058	Mirabell	214 198 191 192 229 045 015 075 205 053 164
0000059	Ha Mien	214 246 075 204 051 163
0000060	Planet Hollywood	026 237 249 194 215 213 102 174 004 132 178 086 249 184 149 191 192 114 229 006 074 204 053 164
0000061	Mity Nice Grill	026 249 100 198 191 192 008 006 075 205 053 164
0000062	Yvette Wintergarden	026 101 200 191 192 057 071 092 075 205 053 166
0000063	ARUN'S	137 099 245 114 235 077 206 054 167
0000064	Original A-1 Border Beanery	026 249 100 086 191 192 234 075 205 053 164
0000065	Half Shell	214 249 004 132 249 149 212 075 204 052 164
0000066	Thai Classic	214 035 235 076 205 053 163
0000067	Red Apple	214 249 174 249 150 198 149 186 075 204 051 162
0000068	Edwardo's Natural Pizza	026 249 100 086 149 182 075 204 052 163
0000069	Toulouse on the Park	214 174 200 245 196 242 146 090 075 206 054 167
0000070	Old Barn	137 174 249 198 191 192 212 225 075 205 053 165
0000071	Happi Sushi	214 174 128 075 205 052 165
0000072	Villa Fiori	137 174 198 125 074 205 053 165
0000073	Shish Kabab House	214 198 143 078 208 056 170
0000074	Tre Kronor	214 035 198 001 210 078 208 056 170
0000075	Johnny Rockets	026 249 004 132 100 178 086 249 149 063 107 042 061 074 204 052 163
0000076	Public Landing	137 174 011 249 191 192 007 076 205 054 165
0000077	Charlie Beinlich's	137 249 174 198 149 008 107 075 205 052 163
0000078	Lou Mitchell's	026 249 148 249 198 149 010 059 231 156 008 042 061 075 205 052 163
0000079	Finkl's World Famous Deli	026 249 100 198 149 036 156 058 129 074 204 051 163
0000080	El Tipico	214 004 132 249 149 142 075 205 052 164
0000081	Strega Nona	214 242 125 078 208 056 170
0000082	Neon Greek Village	026 174 004 132 057 071 103 078 208 056 170
0000083	Mareva's	214 045 186 075 205 053 166
0000084	Topo Gigio at the Park	214 125 075 205 052 165
0000085	Daily Bar & Grill	214 249 194 215 213 249 184 025 008 074 204 052 164
0000086	Chicago Chop House	026 237 194 215 213 174 249 191 192 057 071 225 076 205 053 167
0000087	Russian Tea Time	026 249 198 200 196 191 192 001 202 075 205 053 165
0000088	Bacchanalia	214 249 136 125 076 205 052 164
0000089	Intimate China	214 039 076 206 053 163
0000090	Prairie	214 174 097 080 099 191 192 040 024 007 076 206 054 167
0000091	Binyon's	026 174 189 010 024 229 229 008 098 075 205 052 165
0000092	Los Magueyes	137 174 100 086 142 074 204 052 164
0000093	Uncle Julio's Hacienda	026 174 249 149 191 192 142 078 208 056 170
0000094	Clark Street Bistro	214 174 249 140 078 208 056 170
0000095	Bacino's	026 249 100 086 125 182 075 204 052 163
0000096	Heidelberger Fass	214 097 249 198 098 075 205 053 164
0000097	Chicago Pizza & Oven Grinder	249 149 182 075 204 052 163
0000098	Franco's Ristorante	214 136 125 076 205 052 164
0000099	Rio Latin Tapas	026 136 057 071 232 218 076 205 052 163
0000100	Gene & Georgetti	026 174 099 189 191 192 024 225 078 208 056 170
0000101	Raj Darbar	214 174 117 075 205 052 164
0000102	Carmen's	137 249 100 086 125 182 075 204 052 163
0000103	Pane Caldo	026 174 249 200 245 196 125 075 205 053 166
0000104	Suntory	026 174 191 192 128 075 205 054 167
0000105	AMBRIA	214 174 097 080 099 200 245 193 189 191 192 146 114 090 077 207 055 169
0000106	Russell's Barbecue	137 253 249 174 100 086 249 149 063 229 017 075 204 051 163
0000107	Saloon	026 174 101 099 245 040 024 008 225 075 205 053 167
0000108	Carlos & Carlos	137 174 125 075 205 053 166
0000109	Mi Casa Su Casa	214 004 132 249 198 191 192 063 142 074 204 052 164
0000110	Green Door Tavern	026 178 184 063 010 001 008 074 204 052 163
0000111	Taboo Bistro 'N' Bar	137 197 025 068 078 208 056 170
0000112	Fondue Stube	214 035 249 200 229 085 075 205 052 165
0000113	Mozart Cafe	214 249 084 087 035 249 063 044 074 204 052 163
0000114	Manny's Coffee Shop & Deli	026 249 174 198 036 156 058 042 061 129 076 204 051 163
0000115	Cafe Borgia	137 249 035 249 125 076 205 052 164
0000116	Nick's Fishmarket	026 174 101 099 249 200 245 196 191 192 146 024 212 076 206 054 168
0000117	Lou Malnati's Pizzeria	026 249 174 004 132 100 086 182 075 204 052 163
0000118	Julie Mai's Le Bistro	214 198 090 246 075 204 052 164
0000119	Jane's	214 249 249 063 112 243 075 205 053 164
0000120	Lawry's the Prime Rib	026 174 099 249 245 191 192 024 225 076 206 054 166
0000121	Relish	214 174 249 196 191 192 063 068 006 075 205 053 166
0000122	Lulu's	137 253 249 149 025 014 128 075 205 052 163
0000123	Wayside Manor	137 011 136 200 196 146 091 076 206 054 166
0000124	Shree	137 035 117 078 208 056 170
0000125	La Strada	026 200 057 071 024 125 075 205 053 167
0000126	Gypsy	026 249 191 192 063 024 140 075 205 053 166
0000127	Amourette	137 097 011 249 200 245 193 091 076 206 053 166
0000128	Benihana of Tokyo	026 174 099 040 128 075 205 053 165
0000129	Hong Min	214 249 004 132 039 060 076 204 051 163
0000130	Kinzie Street Chophouse	026 249 191 192 024 225 075 205 053 166
0000131	Cross-Rhodes	137 249 249 149 059 231 008 103 075 205 051 163
0000132	City Tavern	026 178 059 231 008 074 204 052 164
0000133	Ed Debevic's Short Orders Deluxe	237 249 174 004 132 100 178 086 149 191 192 063 197 008 042 061 074 205 053 163
0000134	Leona's Neighborhood Place	214 249 004 132 100 086 198 191 192 125 182 075 205 052 164
0000135	Las Fuentes	214 174 063 138 142 074 204 052 164
0000136	Vernon Park Tap	214 174 198 010 125 078 208 056 170
0000137	Greek Islands	026 237 249 174 004 132 249 191 192 001 103 075 205 053 164
0000138	Cote Rotie	137 174 011 249 200 196 191 192 242 024 140 075 204 054 166
0000139	King Wah	026 249 198 025 039 075 205 052 163
0000140	Rosded	214 198 235 075 205 052 164
0000141	Hatsuhana	026 099 024 128 076 205 053 166
0000142	Oceanique	137 011 193 025 091 076 206 053 167
0000143	Moon Palace	214 249 198 039 075 205 052 164
0000144	Le Bouchon	214 174 200 245 242 114 001 092 076 205 053 166
0000145	Harry G's Crab & Steak House	137 212 225 075 204 052 165
0000146	Southgate Cafe	137 249 174 100 249 198 191 192 025 008 075 205 053 165
0000147	Ristorante Agostino	214 136 125 076 206 052 166
0000148	MAGGIANO'S LITTLE ITALY	026 249 174 099 249 245 189 191 192 063 114 024 125 075 205 053 165
0000149	Fresh Starts	137 035 136 059 231 036 025 068 006 075 205 052 165
0000150	Kuni's	137 128 076 205 052 165
0000151	Trattoria Dinotto	026 249 249 125 075 205 053 165
0000152	Cafe du Midi	214 249 200 063 092 075 205 053 165
0000153	Eli's the Place for Steaks	026 174 101 099 249 225 076 205 053 167
0000154	Natraj	214 035 117 078 208 056 170
0000155	Il Fornaio	214 249 198 125 075 205 053 165
0000156	St. Germain Bakery-Cafe	026 249 249 059 231 156 016 092 075 204 053 164
0000157	Siam Square	026 253 235 074 204 052 163
